id	subject	grade	unit	question	answer	image_id
ri-bio-001	rika	1	生物	表1について、顕微鏡の倍率が600倍, 接眼レンズの倍率が15倍のとき、対物レンズの倍率は( )倍となる。	40	rika_g1_bio
ri-bio-002	rika	1	生物	表2について、花のつくりのうち、外側から数えて2番目にあるつくりは( )である。	花弁	rika_g1_bio
ri-bio-003	rika	1	生物	表2について、おしべのやくから出た花粉がめしべの柱頭につくことを( )という。	受粉	rika_g1_bio
ri-bio-004	rika	1	生物	表3について, 被子植物のうち、トウモロコシ、ツユクサなど、葉脈が平行脈である植物のなかまを( )という。	単子葉類	rika_g1_bio
ri-bio-005	rika	1	生物	表4について、シダ植物とコケ植物は( )によってなかまをふやす。	胞子	rika_g1_bio
ri-bio-006	rika	1	生物	表4について、イチョウは子房がなく胚珠がむき出しになっているため、( )に分類される。	裸子植物	rika_g1_bio
ri-bio-007	rika	1	生物	表5について、魚類は( )で呼吸する。	えら	rika_g1_bio
ri-bio-008	rika	1	生物	表5について、脊椎動物のうち、子と親で呼吸のしかたが変化するのは( )である。	両生類	rika_g1_bio
ri-bio-009	rika	1	生物	表5について、子のうまれ方が胎生であるのは、脊椎動物の( )である。	哺乳類	rika_g1_bio
ri-bio-010	rika	1	生物	表5について、軟体動物は内臓をおおう( )をもち、体やあしに節はない。	外套膜	rika_g1_bio
ri-bio-011	rika	2	生物	表1について、体が1つの細胞でできている生物を( )という。	単細胞生物	rika_g2_bio
ri-bio-012	rika	2	生物	表1について、ミジンコは( )に分類される。	多細胞生物	rika_g2_bio
ri-bio-013	rika	2	生物	表2について、葉でつくられた養分が通る管は( )である。	師管	rika_g2_bio
ri-bio-014	rika	2	生物	表2について、茎の断面を観察したとき、維管束が全体に散らばっているのは、被子植物の( )である。	単子葉類	rika_g2_bio
ri-bio-015	rika	2	生物	表3について、光のエネルギーを使い、二酸化炭素と水からデンプンなどの養分をつくるはたらきを( )という。	光合成	rika_g2_bio
ri-bio-016	rika	2	生物	表4について、細胞の呼吸によってできた二酸化炭素などの不要な物質は、( )にとけて運ばれる。	血しょう	rika_g2_bio
ri-bio-017	rika	2	生物	表4について、赤血球にふくまれていて、酸素の多いところでは酸素と結びつく性質をもつ物質を( )という。	ヘモグロビン	rika_g2_bio
ri-bio-018	rika	2	生物	表5について、感覚器官で受けとった刺激は、信号に変えられ、( )と脊髄を通って脳に伝えられる。	感覚神経	rika_g2_bio
ri-bio-019	rika	2	生物	表5について、神経系のうち、脳や脊髄を()という。	中枢神経	rika_g2_bio
ri-bio-020	rika	2	生物	表5について、末しょう神経のうち、脳や脊髄からの命令の信号を、筋肉などの運動器官に伝える神経を( )という。	運動神経	rika_g2_bio
ri-bio-021	rika	2	生物	表5について、手に熱いものがふれて反射が起こるとき、信号は感覚神経→( )→運動神経のように伝わる。	脊髄	rika_g2_bio
ri-bio-022	rika	3	生物	表1について、細胞分裂が行われるときに核の中に見られるひものようなものを( )という。	染色体	rika_g3_bio
ri-bio-023	rika	3	生物	表1について、生殖細胞がつくられるときに起こる、染色体の数がもとの細胞の半分になる特別な細胞分裂を( )という。	減数分裂	rika_g3_bio
ri-bio-024	rika	3	生物	表2について、( )生殖では、子には親とまったく同じ形質が現れる。	無性	rika_g3_bio
ri-bio-025	rika	3	生物	表2について、( )生殖では、親と同じ形質だけでなく、異なる形質が現れることもある。	有性	rika_g3_bio
ri-bio-026	rika	3	生物	表3について、動物の( )は雄の精巣でつくられる。	精子	rika_g3_bio
ri-bio-027	rika	3	生物	表3について、植物の卵細胞の核と精細胞の核、または動物の卵の核と精子の核が合体することを( )という。	受精	rika_g3_bio
ri-bio-028	rika	3	生物	表4について,エンドウの種子の丸い形としわのある形のように、同時に現れない、対になっている形質を( )という。	対立形質	rika_g3_bio
ri-bio-029	rika	3	生物	表4について、対立形質をもつ純系の個体どうしをかけ合わせた(交配した)ときに、子に現れる形質を( )という。	顕性形質	rika_g3_bio
ri-bio-030	rika	3	生物	表5について、生態系においては、いっぱんに、生産者の数量より消費者の数量のほうが( )。	少ない	rika_g3_bio
ri-bio-031	rika	3	生物	表5について、植物がつくった有機物を直接的、または間接的に食べる生物を( )という。	消費者	rika_g3_bio
ri-bio-032	rika	3	生物	表5について、消費者のうち、生物の死がいやふんなどの有機物を栄養分にしている生物を、特に( )という。	分解者	rika_g3_bio
